"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CVSSv4_BaseSeverity","CVSSv4_BaseScore","CVSSv4","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
Game Application,"Wed, 27 May 2026 19:46:11 +0530",log4j-api-2.24.3.jar,C:\Users\User\.m2\repository\org\apache\logging\log4j\log4j-api\2.24.3\log4j-api-2.24.3.jar,"The logging API of the Log4j project.     Library and application code can log through this API.     It contains a simple built-in implementation (`SimpleLogger`) for trivial use cases.     Production applications are recommended to use Log4j API in combination with a fully-fledged implementation, such as Log4j Core.",Apache-2.0: https://www.apache.org/licenses/LICENSE-2.0.txt,d89516699543c5c21be87ee1760695f3,b02c125db8b6d295adf72ae6e71af5d83bce2370,pkg:maven/org.apache.logging.log4j/log4j-api@2.24.3,cpe:2.3:a:apache:log4j:2.24.3:*:*:*:*:*:*:*,CVE-2026-34479,CWE-116 Improper Encoding or Escaping of Output,"The Log4j1XmlLayout from the Apache Log4j 1-to-Log4j 2 bridge fails to escape characters forbidden by the XML 1.0 standard, producing malformed XML output. Conforming XML parsers are required to reject documents containing such characters with a fatal error, which may cause downstream log processing systems to drop or fail to index affected records.  Two groups of users are affected:    *  Those using Log4j1XmlLayout directly in a Log4j Core 2 configuration file.   *  Those using the Log4j 1 configuration compatibility layer with org.apache.log4j.xml.XMLLayout specified as the layout class.   Users are advised to upgrade to Apache Log4j 1-to-Log4j 2 bridge version 2.25.4, which corrects this issue.  Note: The Apache Log4j 1-to-Log4j 2 bridge is deprecated and will not be present in Log4j 3. Users are encouraged to consult the  Log4j 1 to Log4j 2 migration guide https://logging.apache.org/log4j/2.x/migrate-from-log4j1.html , and specifically the section on eliminating reliance on the bridge.",NVD,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N/E:3.9/RC:R/MAV:A,MEDIUM,6.9,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:N/SC:N/SI:L/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:N/V:X/RE:X/U:X,HIGH,41,"","","","","","","",""
Game Application,"Wed, 27 May 2026 19:46:11 +0530",log4j-api-2.24.3.jar,C:\Users\User\.m2\repository\org\apache\logging\log4j\log4j-api\2.24.3\log4j-api-2.24.3.jar,"The logging API of the Log4j project.     Library and application code can log through this API.     It contains a simple built-in implementation (`SimpleLogger`) for trivial use cases.     Production applications are recommended to use Log4j API in combination with a fully-fledged implementation, such as Log4j Core.",Apache-2.0: https://www.apache.org/licenses/LICENSE-2.0.txt,d89516699543c5c21be87ee1760695f3,b02c125db8b6d295adf72ae6e71af5d83bce2370,pkg:maven/org.apache.logging.log4j/log4j-api@2.24.3,cpe:2.3:a:apache:log4j:2.24.3:*:*:*:*:*:*:*,CVE-2026-34477,"CWE-295 Improper Certificate Validation, CWE-297 Improper Validation of Certificate with Host Mismatch","The fix for  CVE-2025-68161 https://logging.apache.org/security.html#CVE-2025-68161  was incomplete: it addressed hostname verification only when enabled via the  log4j2.sslVerifyHostName https://logging.apache.org/log4j/2.x/manual/systemproperties.html#log4j2.sslVerifyHostName  system property, but not when configured through the  verifyHostName https://logging.apache.org/log4j/2.x/manual/appenders/network.html#SslConfiguration-attr-verifyHostName  attribute of the <Ssl> element.  Although the verifyHostName configuration attribute was introduced in Log4j Core 2.12.0, it was silently ignored in all versions through 2.25.3, leaving TLS connections vulnerable to interception regardless of the configured value.  A network-based attacker may be able to perform a man-in-the-middle attack when all of the following conditions are met:    *  An SMTP, Socket, or Syslog appender is in use.   *  TLS is configured via a nested <Ssl> element.   *  The attacker can present a certificate issued by a CA trusted by the appender's configured trust store, or by the default Java trust store if none is configured. This issue does not affect users of the HTTP appender, which uses a separate  verifyHostname https://logging.apache.org/log4j/2.x/manual/appenders/network.html#HttpAppender-attr-verifyHostName  attribute that was not subject to this bug and verifies host names by default.  Users are advised to upgrade to Apache Log4j Core 2.25.4, which corrects this issue.",NVD,"","","",MEDIUM,5.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N/E:2.2/RC:R/MAV:A,MEDIUM,6.3,CVSS:4.0/AV:N/AC:H/AT:N/PR:N/UI:N/VC:L/VI:N/VA:N/SC:N/SI:L/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:N/V:X/RE:X/U:X,HIGH,41,"","","","","","","",""
Game Application,"Wed, 27 May 2026 19:46:11 +0530",spring-boot-3.5.0.jar,C:\Users\User\.m2\repository\org\springframework\boot\spring-boot\3.5.0\spring-boot-3.5.0.jar,Spring Boot,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",bda13182d51c044ec0ce7c4c62a2cc68,ec86afc460265a0219bfafe187acb6c596ac2de1,pkg:maven/org.springframework.boot/spring-boot@3.5.0,cpe:2.3:a:vmware:spring_boot:3.5.0:*:*:*:*:*:*:*,CVE-2026-40974,CWE-295 Improper Certificate Validation,"Spring Boot's Cassandra auto-configuration does not perform hostname verification when establishing an SSL connection to Cassandra.  Affected: Spring Boot 4.0.0–4.0.5 (fix 4.0.6), 3.5.0–3.5.13 (fix 3.5.14), 3.4.0–3.4.15 (fix 3.4.16), 3.3.0–3.3.18 (fix 3.3.19), 2.7.0–2.7.32 (fix 2.7.33); Cassandra SSL auto-configuration. Versions that are no longer supported are also affected per vendor advisory.",NVD,"","","",CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:3.9/RC:R/MAV:A,"","","",HIGH,38,"","","","","","","",""
Game Application,"Wed, 27 May 2026 19:46:11 +0530",spring-boot-3.5.0.jar,C:\Users\User\.m2\repository\org\springframework\boot\spring-boot\3.5.0\spring-boot-3.5.0.jar,Spring Boot,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",bda13182d51c044ec0ce7c4c62a2cc68,ec86afc460265a0219bfafe187acb6c596ac2de1,pkg:maven/org.springframework.boot/spring-boot@3.5.0,cpe:2.3:a:vmware:spring_boot:3.5.0:*:*:*:*:*:*:*,CVE-2026-40971,CWE-295 Improper Certificate Validation,"When configured to use an SSL bundle, Spring Boot's RabbitMQ auto-configuration does not perform hostname verification when connecting to the RabbitMQ broker.  Affected: Spring Boot 4.0.0–4.0.5 (fix 4.0.6), 3.5.0–3.5.13 (fix 3.5.14) per vendor advisory.",NVD,"","","",CRITICAL,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N/E:3.9/RC:R/MAV:A,"","","",HIGH,38,"","","","","","","",""
Game Application,"Wed, 27 May 2026 19:46:11 +0530",spring-boot-3.5.0.jar,C:\Users\User\.m2\repository\org\springframework\boot\spring-boot\3.5.0\spring-boot-3.5.0.jar,Spring Boot,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",bda13182d51c044ec0ce7c4c62a2cc68,ec86afc460265a0219bfafe187acb6c596ac2de1,pkg:maven/org.springframework.boot/spring-boot@3.5.0,cpe:2.3:a:vmware:spring_boot:3.5.0:*:*:*:*:*:*:*,CVE-2026-22731,"CWE-306 Missing Authentication for Critical Function, CWE-288 Authentication Bypass Using an Alternate Path or Channel","Spring Boot applications with Actuator can be vulnerable to an ""Authentication Bypass"" vulnerability when an application endpoint that requires authentication is declared under a specific path, already configured for a Health Group additional path. This issue affects Spring Boot: from 4.0 before 4.0.3, from 3.5 before 3.5.11, from 3.4 before 3.4.15. This CVE is similar but not equivalent to CVE-2026-22733, as the conditions for exploit and vulnerable versions are different.",NVD,"","","",HIGH,8.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H/E:2.2/RC:R/MAV:A,"","","",HIGH,38,"","","","","","","",""
Game Application,"Wed, 27 May 2026 19:46:11 +0530",spring-boot-3.5.0.jar,C:\Users\User\.m2\repository\org\springframework\boot\spring-boot\3.5.0\spring-boot-3.5.0.jar,Spring Boot,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",bda13182d51c044ec0ce7c4c62a2cc68,ec86afc460265a0219bfafe187acb6c596ac2de1,pkg:maven/org.springframework.boot/spring-boot@3.5.0,cpe:2.3:a:vmware:spring_boot:3.5.0:*:*:*:*:*:*:*,CVE-2026-22733,CWE-288 Authentication Bypass Using an Alternate Path or Channel,"Spring Boot applications with Actuator can be vulnerable to an ""Authentication Bypass"" vulnerability when an application endpoint that requires authentication is declared under the path used by the CloudFoundry Actuator endpoints. This issue affects Spring Security: from 4.0.0 through 4.0.3, from 3.5.0 through 3.5.11, from 3.4.0 through 3.4.14, from 3.3.0 through 3.3.17, from 2.7.0 through 2.7.31.",NVD,"","","",HIGH,8.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H/E:2.2/RC:R/MAV:A,"","","",HIGH,38,"","","","","","","",""
Game Application,"Wed, 27 May 2026 19:46:11 +0530",spring-boot-3.5.0.jar,C:\Users\User\.m2\repository\org\springframework\boot\spring-boot\3.5.0\spring-boot-3.5.0.jar,Spring Boot,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",bda13182d51c044ec0ce7c4c62a2cc68,ec86afc460265a0219bfafe187acb6c596ac2de1,pkg:maven/org.springframework.boot/spring-boot@3.5.0,cpe:2.3:a:vmware:spring_boot:3.5.0:*:*:*:*:*:*:*,CVE-2026-40972,CWE-208 Observable Timing Discrepancy,"An attacker on the same network as the remote application may be able to utilize a timing attack to discover information about the remote secret. In extreme circumstances this could result in the attacker determining the secret and uploading changed classes, thereby achieving remote code execution in the remote application.  Affected: Spring Boot 4.0.0–4.0.5 (fix 4.0.6), 3.5.0–3.5.13 (fix 3.5.14), 3.4.0–3.4.15 (fix 3.4.16), 3.3.0–3.3.18 (fix 3.3.19), 2.7.0–2.7.32 (fix 2.7.33); DevTools remote secret comparison. Versions that are no longer supported are also affected per vendor advisory.",NVD,"","","",HIGH,7.5,CVSS:3.1/AV:A/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H/E:1.6/RC:R/MAV:A,"","","",HIGH,38,"","","","","","","",""
Game Application,"Wed, 27 May 2026 19:46:11 +0530",spring-boot-3.5.0.jar,C:\Users\User\.m2\repository\org\springframework\boot\spring-boot\3.5.0\spring-boot-3.5.0.jar,Spring Boot,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",bda13182d51c044ec0ce7c4c62a2cc68,ec86afc460265a0219bfafe187acb6c596ac2de1,pkg:maven/org.springframework.boot/spring-boot@3.5.0,cpe:2.3:a:vmware:spring_boot:3.5.0:*:*:*:*:*:*:*,CVE-2026-40975,CWE-330 Use of Insufficiently Random Values,"Values produced by ${random.value} are not suitable for use as secrets. ${random.uuid} is not affected. ${random.int} and ${random.long} should never be used for secrets as they are numeric values with a predictable range.  Affected: Spring Boot 4.0.0–4.0.5 (fix 4.0.6), 3.5.0–3.5.13 (fix 3.5.14), 3.4.0–3.4.15 (fix 3.4.16), 3.3.0–3.3.18 (fix 3.3.19), 2.7.0–2.7.32 (fix 2.7.33); random value property source / weak PRNG for secrets. Versions that are no longer supported are also affected per vendor advisory.",NVD,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N/E:3.9/RC:R/MAV:A,"","","",HIGH,38,"","","","","","","",""
Game Application,"Wed, 27 May 2026 19:46:11 +0530",spring-boot-3.5.0.jar,C:\Users\User\.m2\repository\org\springframework\boot\spring-boot\3.5.0\spring-boot-3.5.0.jar,Spring Boot,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",bda13182d51c044ec0ce7c4c62a2cc68,ec86afc460265a0219bfafe187acb6c596ac2de1,pkg:maven/org.springframework.boot/spring-boot@3.5.0,cpe:2.3:a:vmware:spring_boot:3.5.0:*:*:*:*:*:*:*,CVE-2026-40973,CWE-377 Insecure Temporary File,"A local attacker on the same host as the application may be able to take control of the directory used by `ApplicationTemp`. When `server.servlet.session.persistent` is set to `true` and the attack persists across application restarts, this may allow the attacker to read session information and hijack authenticated users or deploy a gadget chain and execute code as the application's user.  Affected: Spring Boot 4.0.0–4.0.5 (fix 4.0.6), 3.5.0–3.5.13 (fix 3.5.14), 3.4.0–3.4.15 (fix 3.4.16), 3.3.0–3.3.18 (fix 3.3.19), 2.7.0–2.7.32 (fix 2.7.33); predictable temp directory / `ApplicationTemp` ownership verification. Versions that are no longer supported are also affected per vendor advisory.",NVD,"","","",HIGH,7.0,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H/E:1.0/RC:R/MAV:A,"","","",HIGH,38,"","","","","","","",""
Game Application,"Wed, 27 May 2026 19:46:11 +0530",spring-boot-3.5.0.jar,C:\Users\User\.m2\repository\org\springframework\boot\spring-boot\3.5.0\spring-boot-3.5.0.jar,Spring Boot,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",bda13182d51c044ec0ce7c4c62a2cc68,ec86afc460265a0219bfafe187acb6c596ac2de1,pkg:maven/org.springframework.boot/spring-boot@3.5.0,cpe:2.3:a:vmware:spring_boot:3.5.0:*:*:*:*:*:*:*,CVE-2026-40977,CWE-59 Improper Link Resolution Before File Access ('Link Following'),"When an application is configured to use `ApplicationPidFileWriter`, a local attacker with write access to the PID file's location can corrupt one file on the host each time the application is started.  Affected: Spring Boot 4.0.0–4.0.5 (fix 4.0.6), 3.5.0–3.5.13 (fix 3.5.14), 3.4.0–3.4.15 (fix 3.4.16), 3.3.0–3.3.18 (fix 3.3.19), 2.7.0–2.7.32 (fix 2.7.33); PID file / symlink behavior (`ApplicationPidFileWriter`). Versions that are no longer supported are also affected per vendor advisory.",NVD,"","","",MEDIUM,6.7,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H/E:0.8/RC:R/MAV:A,"","","",HIGH,38,"","","","","","","",""
